City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,blackmans bay,-43.0167,147.3167,13.07,65,2.29,100,AU,1691066158
1,mbekenyera,-10.0,38.9833,30.95,24,3.19,10,TZ,1691066158
2,port-aux-francais,-49.35,70.2167,3.23,97,13.3,100,TF,1691066158
3,aripuana,-9.1667,-60.6333,29.69,47,0.87,0,BR,1691066158
4,atafu village,-8.5421,-172.5159,27.68,77,5.38,11,TK,1691066159
5,fang,19.9169,99.2145,23.32,99,1.1,99,TH,1691066159
6,yanchep,-31.55,115.6833,10.9,68,2.57,35,AU,1691066159
7,kulunda,52.566,78.9385,28.14,40,2.67,62,RU,1691066160
8,port elizabeth,-33.918,25.5701,27.28,22,6.17,0,ZA,1691066014
9,invercargill,-46.4,168.35,7.79,84,1.79,18,NZ,1691066161
10,chibougamau,49.9168,-74.3659,13.79,94,7.2,100,CA,1691066162
11,badger,64.8,-147.5333,16.51,82,2.06,75,US,1691066162
12,ponferrada,42.5466,-6.5962,23.49,37,2.24,0,ES,1691066162
13,gadzhiyevo,69.2551,33.3362,24.24,52,7.21,13,RU,1691066163
14,adamstown,-25.066,-130.1015,21.22,81,9.88,95,PN,1691066163
15,lata,40.1629,-8.3327,27.49,44,5.37,0,PT,1691066163
16,bethel,41.3712,-73.414,20.5,77,1.54,0,US,1691066163
17,albany,42.6001,-73.9662,19.24,82,2.38,70,US,1691066164
18,saint-louis,16.3333,-15.0,32.8,48,2.42,53,SN,1691066164
19,port mathurin,-19.6833,63.4167,23.34,79,8.11,55,MU,1691066165
20,waitangi,-43.9535,-176.5597,8.23,96,2.24,100,NZ,1691066165
21,betio village,1.358,172.9211,28.02,74,0.92,42,KI,1691066165
22,hawaiian paradise park,19.5933,-154.9731,22.24,91,2.06,40,US,1691066165
23,vila do maio,15.1333,-23.2167,29.44,75,2.55,31,CV,1691066166
24,leninskoye,41.7589,69.3864,36.81,8,7.6,0,KZ,1691066166
25,puerto natales,-51.7236,-72.4875,4.33,93,10.1,100,CL,1691066167
26,khuzdar,27.7384,66.6434,37.67,12,4.92,45,PK,1691066167
27,georgetown,5.4112,100.3354,29.99,75,3.6,20,MY,1691066098
28,ville platte,30.688,-92.2715,24.99,77,1.98,46,US,1691066168
29,thompson,55.7435,-97.8558,13.09,100,1.03,0,CA,1691066168
30,whitehorse,60.7161,-135.0538,11.43,78,1.03,20,CA,1691066168
31,posto fiscal rolim de moura,-13.0833,-62.2667,28.89,34,0.49,0,BR,1691066169
32,kingston,17.997,-76.7936,29.58,79,2.57,20,JM,1691066169
33,ilulissat,69.2167,-51.1,8.01,81,2.06,75,GL,1691066169
34,edinburgh of the seven seas,-37.0676,-12.3116,13.68,82,11.3,100,SH,1691066170
35,fort st. john,56.2499,-120.8529,10.94,100,3.09,100,CA,1691066082
36,kourou,5.1552,-52.6478,29.03,67,3.33,23,GF,1691066170
37,holualoa,19.6228,-155.9522,23.91,84,2.57,75,US,1691066170
38,cee,42.9547,-9.188,22.12,63,7.37,3,ES,1691066171
39,palma sola,-23.9634,-64.2987,21.0,34,1.77,0,AR,1691066171
40,talnakh,69.4865,88.3972,24.93,32,0.69,12,RU,1691066172
41,guerrero negro,27.9769,-114.0611,19.11,91,5.11,0,MX,1691066172
42,margaret river,-33.95,115.0667,10.67,70,2.24,87,AU,1691066131
43,taber,49.8167,-112.1518,17.91,63,5.66,0,CA,1691066173
44,petropavlovsk-kamchatsky,53.0452,158.6483,11.33,100,2.0,20,RU,1691066173
45,nazarovo,56.0064,90.3914,23.1,67,2.42,100,RU,1691066173
46,port saint john's,-31.6229,29.5448,22.46,44,4.52,0,ZA,1691066173
